"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
24015,Brossard—Saint-Lambert,Brossard—Saint-Lambert,2023,65307073.9481,43439.9710352
24016,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles,2023,124501403.908,70030.9629007
24017,Châteauguay—Les Jardins-de-Napierville,Châteauguay—Les Jardins-de-Napierville,2023,1553475286.33,219081.874222
24018,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord,2023,3988532374.08,379977.089603
24019,Compton—Stanstead,Compton—Stanstead,2023,4814791227.64,432640.49795
24020,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,2023,13479764732.3,712221.280675
24021,Côte-Nord—Kawawachikamach—Nitassinan,Côte-Nord—Kawawachikamach—Nitassinan,2023,313029572869,5097755.91705
24022,Dorval—Lachine—LaSalle,Dorval—Lachine—LaSalle,2023,66445311.1736,49746.8816596
24023,Drummond,Drummond,2023,1669833248.51,251778.449646
24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,2023,29960986859,1404041.95176
24025,Gatineau,Gatineau,2023,96151578.9925,64743.5609022
24026,Hochelaga—Rosemont-Est,Hochelaga—Rosemont-Est,2023,24252693.2738,24541.4410114
24027,Honoré-Mercier,Honoré-Mercier,2023,44887867.4256,42182.3376826
24028,Hull—Aylmer,Hull—Aylmer,2023,78263141.1681,63263.234035
24029,Joliette—Manawan,Joliette—Manawan,2023,8086976683.59,734156.883249
24030,Jonquière,Jonquière,2023,59261026258.2,1735894.63702
24031,La Pointe-de-l'Île,La Pointe-de-l'Île,2023,50805155.7273,43471.3380726
24032,La Prairie—Atateken,La Prairie—Atateken,2023,316786240.51,94796.3164073
24033,Lac-Saint-Jean,Lac-Saint-Jean,2023,42429849437.6,1427279.53025
24034,Lac-Saint-Louis,Lac-Saint-Louis,2023,127103692.037,53341.6491894
24035,LaSalle—Émard—Verdun,LaSalle—Émard—Verdun,2023,37599181.4248,36011.8742077
24036,Laurentides—Labelle,Laurentides—Labelle,2023,20010987156,1004063.2225
24037,Laurier—Sainte-Marie,Laurier—Sainte-Marie,2023,20758551.7124,21257.06846
24038,Laval—Les Îles,Laval—Les Îles,2023,53497069.363,35603.1099556
24039,Les Pays-d'en-Haut,Les Pays-d'en-Haut,2023,1804086698.24,276283.490984
24040,Lévis—Lotbinière,Lévis—Lotbinière,2023,1195662041.98,204497.908653
24041,Longueuil—Charles-LeMoyne,Longueuil—Charles-LeMoyne,2023,38977876.0115,44450.3198506
24042,Longueuil—Saint-Hubert,Longueuil—Saint-Hubert,2023,63172679.7299,42148.4273755
24043,Louis-Hébert,Louis-Hébert,2023,101204597.35,58519.9899143
24044,Louis-Saint-Laurent—Akiawenhrahk,Louis-Saint-Laurent—Akiawenhrahk,2023,128425875.337,72657.2520714
24045,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,2023,57576331.7978,34572.5862897
